car_name,fuel_type,transmission_type,reviews_count,engine_displacement,no_cylinder,seating_capacity,fuel_tank_capacity,price,horse_power
Maruti XL6,Petrol,Automatic,58,1462,4,6,45,1129000,101.65
Jeep Wrangler,Petrol,Automatic,18,1998,4,5,0,5635000,268
Maruti Eeco,Petrol,Manual,264,1196,4,7,65,463000,61.68
Force Gurkha,Diesel,Manual,28,2596,4,4,63,1449000,89.84
Maruti S-Cross,Petrol,Automatic,77,1462,4,5,48,895000,103.25
Maruti Ciaz,Petrol,Automatic,666,1462,4,5,43,899000,103.25
Hyundai Santro,CNG,Manual,532,1086,4,5,60,490000,59.17
Volkswagen Taigun,Petrol,Automatic,68,1498,4,5,50,1140000,147.51
BMW X7,Diesel,Automatic,15,2993,6,7,80,11800000,394.26
Audi Q7,Petrol,Automatic,9,2995,6,7,0,8249000,335.25
Toyota Vellfire,Petrol,Automatic,13,2494,4,7,58,9260000,115.32
Toyota Hilux,Diesel,Automatic,13,2755,4,5,80,3399000,201.15
MG Gloster,Diesel,Automatic,74,1996,4,7,75,3150000,215.01
Lamborghini Aventador,Petrol,Automatic,52,6498,12,2,90,62500000,759.01
BMW X1,Diesel,Automatic,40,1995,4,5,51,4150000,187.74
BMW X5,Petrol,Automatic,28,2998,6,5,0,7990000,335.26
Toyota Camry,Petrol,Automatic,6,2498,4,5,0,4435000,175.67
Volkswagen Tiguan,Petrol,Automatic,5,1984,4,5,60,3279000,187.74
Rolls-Royce Ghost,Petrol,Automatic,15,6750,12,5,0,69500000,563
Skoda Octavia,Petrol,Automatic,20,1984,4,5,50,2685000,187.74
Skoda Superb,Petrol,Automatic,22,1984,4,5,66,3349000,187.74
Audi A6,Petrol,Automatic,19,1984,4,5,73,5999000,241.3
Volvo XC40,Petrol,Automatic,20,1969,4,5,54,4450000,187.4
Kia EV6,Electric,Electric,15,0,0,5,0,5995000,320.55
